         SKU;Item code;Title;Category;Height  (cm);Width  (cm);Chain length (cm);Chain width;NOK;Total Price USD;Image;Tags;Description;;;
2300;"N011 050c 18""-900";Tvunnet halskjede i sõlv;Kjeder og Anheng;;;45,5;;565;4,280223464;3645.jpg|3647.jpg|3648.jpg;ankerkjede,sterling sõlv;;;;
2301;"N012 040c 16""-450";Marine kjede i sõlv;Kjeder og Anheng;;;40,5;;575;2,493854749;3534.jpg;kjede,sterling sõlv,marine;;;;
2302;"N012 050c 16""-750";Marine kjede i sõlv;Kjeder og Anheng;;;40,5;;565;3,421452514;3535.jpg;kjede,sterling sõlv;;;;
2303;N019 22c  -210     ;Tvunnet halskjede i sõlv;Kjeder og Anheng;;0,22;45,5;;490;4,145251397;3536.jpg|3541.jpg;kjede,sterling sõlv,tvunnet kjede;;;;
2304;N019 30 c- 250        ;Tvunnet sõlvkjede;Kjeder og Anheng;;;45,5;;575;1,648715084;3739.jpg;kjede,sterling sõlv,tvunnet kjede;;;;
2305;N019 40c-510;Tvunnet halskjede i sõlv;Kjeder og Anheng;;;45,5;;490;4,180782123;3542.jpg|3543.jpg;kjede,sterling sõlv,tvunnet kjede;;;;
2306;N019 40c-570;Tvunnet halskjede i sõlv;Kjeder og Anheng;;;51;;490;4,204469274;3598.jpg|3601.jpg;kjede,sterling sõlv,tvunnet kjede;;;;
2307;"N026 022C  18""-500";Veneziakjede i sõlv;Kjeder og Anheng;;;45,5;;510;3,687150838;3585.jpg|3588.jpg;kjede,veneziakjede,sterling sõlv;;;;
2308;"N031 022C  16""-500";Tvunnet halskjede i sõlv;Kjeder og Anheng;;0,22;40,5;;565;3,830391061;3580.jpg|3583.jpg;kjede,sterling sõlv;;;;
2309;"N031 022C  18""-550";Tvunnet halskjede i sõlv;Kjeder og Anheng;;0,22;45,5;;565;4,348379888;3548.jpg|3549.jpg;kjede,sterling sõlv;;;;
2310;"N031 030C  16""-600";Tvinnet halskjede i sõlv;Kjeder og Anheng;;0,3;40,5;;565;3,857653631;3500.jpg|3501.jpg|3503.jpg;kjede,sterling sõlv;;;;
2311;"N031 030C  18""-700";Tvinnet halskjede i sõlv;Kjeder og Anheng;;0,3;45,5;;565;4,375642458;3500.jpg|3501.jpg|3503.jpg;kjede,sterling sõlv;;;;
2312;"N031 050C  18""-1800";Tvunnet halskjede i sõlv;Kjeder og Anheng;;0,3;45,5;;500;11,94636872;3630.jpg|3633.jpg|3635.jpg;kjede,sterling sõlv;;;;
2313;"N031 050C  20""-2000";Tvunnet halskjede i sõlv;Kjeder og Anheng;;0,5;51;;530;11,97318436;3611.jpg|3614.jpg;kjede,sterling sõlv;;;;
