SKU,Item code,Name,Category,pa_høyde-(cm),pa_bredde-(cm),pa_kjedelengde-(cm),Price,Total Price USD,Image,Tags,Description,,,
2319,N348-780,Sølvkjede med infinity-hjerte,Kjeder og Anheng,1,1.6,42,695,5.363128492,3567.jpg|3570.jpg|3571.jpg,"kjede,sterling sølv,zirkoner",,,,
2320,N367-750,Kjede med anheng i sølv,Kjeder og Anheng,2,0.75,41.5,695,5.865921788,3561.jpg|3565.jpg|3566.jpg,"sterling sølv,zirkoner,perler,anheng",Hjerte-anheng i sølv med flerfargede zirkoner,,,
2321,N407-1500,Infinity-kjede i sølv,Kjeder og Anheng,2,1,41,695,16.42458101,3716.jpg|3723.jpg,"kjede,sterling sølv,zirkoner,infinity,anheng",,,,
2322,P008-500,Blomsterkors-anheng i sølv,Kjeder og Anheng,2,1.5,,530,1.51575419,2700.jpg,"anheng,sterling sølv,kors",Anheng med sølvsirkler fyllt med zirkoner,,,
2323,P062-650,Anheng i sølv med Jesus på korset,Kjeder og Anheng,3.5,1.9,,530,2.381899441,2860.jpg|2868.jpg,"anheng,sterling sølv,kors",,,,
2324,P071   S-350,Hjerte-anheng i sølv,Kjeder og Anheng,1.25,1.5,,520,10.26145251,2856.jpg|2857.jpg,"anheng,sterling sølv,hjerte",,,,
2325,P072-550,Hjerte-anheng i sølv med pil,Kjeder og Anheng,2.25,2,,530,2.088938547,2707.jpg|2710.jpg,"anheng,sterling sølv,hjerte,kjærlighet",,,,
2326,P073-550,Heste-anheng i sølv,Kjeder og Anheng,2,1.25,,500,1.991061453,3248.jpg|3254.jpg,"anheng,sterling sølv,hestesko",,,,
2327,P079-550,Hengelås og nøkkel-anheng i sølv,Kjeder og Anheng,2,0.75,,530,1.55396648,2724.jpg|2727.jpg,"anheng,sterling sølv,nøkkel,hjerte",,,,
2328,P080-550,Hjerte-medaljong i sølv,Kjeder og Anheng,1.75,1.25,,520,1.639329609,2808.jpg|2813.jpg,"anheng,sterling sølv,hjerte",,,,
2329,P081-800,Filigran hjerte-medaljong i sølv,Kjeder og Anheng,2.5,1.8,,520,6.106815642,2817.jpg|2819.jpg|2821.jpg|2826.jpg,"anheng,sterling sølv,hjerte,filigran,medaljong",,,,
2330,P081-800,Filigran hjerte-medaljong i sølv,Kjeder og Anheng,2.5,1.8,,520,6.106815642,2869.jpg|2873.jpg,"anheng,sterling sølv,hjerte,filigran,medaljong",,,,
2332,P095-700,Sommerfugl-anheng i sølv,Kjeder og Anheng,2.5,2,,480,2.463463687,2832.jpg|2834.jpg,"anheng,sterling sølv,hjerte,filigran,sommerfugl",,,,
2334,P097-950,Heste-anheng i sølv,Kjeder og Anheng,2,3,,480,4.22972067,,"anheng,sterling sølv,hest",,,,
2336,P100-700,Kors-anheng i sølv,Kjeder og Anheng,3.2,1.8,,480,2.440223464,2689.jpg|2694.jpg|2886.jpg,"anheng,sterling sølv,kors,filigran",,,,
2337,P048-500,Filigran sølv-anheng med hjerte,Kjeder og Anheng,2.6,2,,530,2.483798883,2877.jpg|2880.jpg,"anheng,sterling sølv,hjerte,filigran",,,,
2340,P104-500,Nøkkelanheng i sølv,Kjeder og Anheng,2,0.5,,415,5.12849162,2773.jpg|2778.jpg,"anheng,sterling sølv,nøkkel",,,,
2341,P105-800,Hjertemedaljong i sølv,Kjeder og Anheng,2.5,1.75,,480,5.29877095,2837.jpg|2841.jpg|2843.jpg,"anheng,sterling sølv,hjerte,kjærlighet,medaljong",,,,
2342,P109-700,Anheng i sølv med pil,Kjeder og Anheng,2,1.5,,480,2.963128492,2749.jpg|2753.jpg,"anheng,sterling sølv,hjerte,pil",,,,
2343,P138-280,Hjerte-anheng i sølv,Kjeder og Anheng,2,1.75,,480,1.487374302,2763.jpg|2767.jpg|2770.jpg,"anheng,sterling sølv,hjerte,zirkoner,hjerte",,,,
2344,P139-250,Engel-anheng i sølv,Kjeder og Anheng,2.25,1.5,,500,1.460111732,2846.jpg|2850.jpg|2852.jpg,"anheng,sterling sølv,engel",,,,
2345,P159-350,Nøkkelanheng i sølv,Kjeder og Anheng,4,1,,500,2.29273743,2756.jpg|2760.jpg,"anheng,sterling sølv,nøkkel,hjerte",,,,
2346,PD318-750,Hjerte-anheng i sølv,Kjeder og Anheng,3.2,2.6,,630,7.141899441,2903.jpg|2910.jpg,"anheng,sterling sølv,hjerte",,,,
2347,PD323-380,Anker-anheng i sølv,Kjeder og Anheng,3.25,1.75,,665,4.022346369,2733.jpg,"anheng,sterling sølv,anker",,,,
2348,SCE324-580,Infinity øreringer i sølv med krystaller,Ørepynt,1.25,1.25,,695,4.189944134,3430.jpg,"ørepynt,sterling sølv,zirkoner,sorte krystaller",,,,
2349,SCE351-620,Øredobber i sølv med zirkoner,Ørepynt,1.4,1.4,,695,4.860335196,3465.jpg,"ørepynt,sterling sølv,zirkoner,loop",,,,
2350,SCE366-580,Infinity øreringer i sølv,Ørepynt,1.5,1.5,,695,4.357541899,3462.jpg,"ørepynt,sterling sølv,zirkoner,loop",,,,
2351,SE508-250,Hjerteformede øredobber i sølv med perler,Ørepynt,1,1,,665,2.091620112,3426.jpg,"øredobber,sterling sølv,hjerte",,,,
2352,SP002-600,Triangel-anheng i sølv,Kjeder og Anheng,2,1.5,,595,2.502793296,3195.jpg|3200.jpg,"anheng,sterling sølv,anheng,zirkoner,kremfarget,perler",,,,
2353,SP009-650,Hjerte-anheng i sølv,Kjeder og Anheng,2.2,1.5,,610,2.536759777,3241.jpg|3244.jpg,"anheng,sterling sølv,anheng,zirkoner,hjerte",,,,
2354,SP011-650,Sølvanheng med zirkon,Kjeder og Anheng,1.8,0.5,,610,1.474860335,3071.jpg|3073.jpg,"anheng,sterling sølv,anheng,zirkoner",,,,
2355,SP012-650,Hjerte-anheng med kors i sølv,Kjeder og Anheng,,,,610,3.465921788,2915.jpg|2916.jpg,"anheng,sterling sølv,anheng,zirkoner,kors,hjerte",,,,
2356,SP014-650,Sølvanheng med zirkoner og sorte krystaller,Kjeder og Anheng,,,,595,5.577653631,3104.jpg|3105.jpg,"anheng,sterling sølv,zirkoner,sorte krystaller,hjerte",,,,
2357,SP015-650,Hjerteknute-anheng i sølv,Kjeder og Anheng,2.1,1.8,,610,2.64,3087.jpg|3091.jpg,"anheng,sterling sølv,zirkoner,hjerte",,,,
2358,SP018-650,Hjerte-anheng i sølv med zirkoner,Kjeder og Anheng,2,15,,610,2.197541899,2713.jpg|2720.jpg,"anheng,sterling sølv,zirkoner,hjerte",,,,
2359,SP035- 650,Pusekatt-anheng i sølv,Kjeder og Anheng,2,1,,595,3.832849162,3205.jpg|3208.jpg,"anheng,sterling sølv,zirkoner,sort,hjerte,pusekatt,pink",,,,
2360,SP043-500,Hjerte-anheng i sølv,Kjeder og Anheng,2.4,1.6,,610,3.082458101,3006.jpg|3010.jpg|3013.jpg,"anheng,sterling sølv,hjerte,zirkoner,rosa krystaller",,,,
2361,SP044-600,Blomster-anheng i sølv,Kjeder og Anheng,2.5,1.8,,555,2.051396648,2949.jpg|2954.jpg,"anheng,sterling sølv,blomster,zirkoner",,,,
2362,SP048-650,Perleanheng omkranset av zirkoner,Kjeder og Anheng,2.2,1.5,,610,3.347932961,3211.jpg|3216.jpg,"anheng,sterling sølv,kremfarget,perler,zirkoner",,,,
2363,SP050-800,Sølv-anheng formet som en blomst,Kjeder og Anheng,,,,595,3.432402235,3075.jpg,"anheng,sterling sølv,perler,zirkoner,blomster",,,,
2364,SP057-900,Kors-anheng i sølv med zirkoner,Kjeder og Anheng,3,1.75,,555,3.231284916,2957.jpg,"anheng,sterling sølv,kors,zirkoner",,,,
